SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
02.09.2024_12.30.09,128,1887.744,0,-11.65726,58.70226,274.2838,135.1,129.7,55.91363,-114.2795,-119.9363,68.5,65.7,-216.1675,14.932,17.62587,-386.0677,66.30715,42.5,69.8,946.2,228.6638,945.4032,234.5647
02.09.2024_12.35.09,32,2890.05,0,-13.97569,92.22367,400.8029,168.8,162.6,103.3782,-122.7214,-119.8785,79.4,74,-219.9002,15.85503,18.51997,-400.0651,60.93208,41.2,80.7,946.2,226.4158,945.4032,214.6138
02.09.2024_12.40.10,32,3892.103,0,-13.86719,92.22367,466.3701,191.8,186.5,50.24234,-105.4471,-120.2402,85.6,80.7,-215.408,16.05035,18.84115,-397.2801,60.93605,43.7,86,946.2,221.428,945.4032,215.808
02.09.2024_12.45.09,32,4897.067,0,-13.58145,92.22729,492.1911,190.5,186.6,85.76027,-119.5096,-119.0828,85.1,82.8,-210.4601,16.11979,18.69213,-391.2399,60.93605,43.1,85.6,946.2,221.3578,945.4032,219.461
02.09.2024_12.50.09,32,5902.126,0,-13.96846,92.23814,492.8675,184.3,181.5,67.95067,-119.401,-117.3611,82.8,82.9,-215.1259,15.9375,18.62558,-390.9505,60.93208,42.2,85.1,946.2,222.6222,945.4032,220.1635
02.09.2024_12.55.09,64,6899.486,0,-12.66277,74.35981,479.1414,174.4,171.2,72.03053,-109.6571,-111.5451,79.10001,80.3,-201.9965,15.62211,18.30874,-376.4106,64.65205,43.6,80.1,946.2,215.3163,945.4032,218.4072
02.09.2024_13.00.09,0,7329.119,0,-12.14555,69.8206,395.2727,149.4,147.4,60.4673,-123.8064,-107.7112,72.4,75.6,-201.4323,15.17651,17.6114,-370.7682,64.65604,43.3,73.4,946.2,218.8288,945.4032,222.4818
02.09.2024_13.05.09,16,7329.119,5.8,-12.38788,60.54326,309.3352,126.2,125,68.71383,-118.8368,-109.8958,66.4,69.8,-209.6354,15.13021,17.568,-376.4829,68.63065,40.6,67.5,946.2,229.858,945.4032,218.618
02.09.2024_13.10.09,16,7329.119,13.4,-12.43851,56.21745,268.5945,119.9,118.1,59.76201,-124.2188,-117.5637,63.1,65.4,-213.2378,15.05932,17.54051,-380.8956,68.63065,39.8,65,946.2,224.4487,945.4032,214.3328
02.09.2024_13.15.09,2048,7329.119,21,-12.05874,54.84303,246.9907,115.6,113.6,52.47034,-115.8203,-116.8692,61.3,63.4,-212.2396,14.43866,17.19039,-377.0616,68.62269,40.8,63,946.2,226.6967,945.4032,226.2753
02.09.2024_13.20.09,0,7329.119,25,-11.6428,57.86675,226.2225,110,108.1,47.17882,-110.829,-114.5833,59.4,62.3,-212.0659,14.6629,17.33941,-378.7254,68.62269,42.4,62.7,946.2,231.1225,945.4032,219.461
02.09.2024_13.25.09,256,7329.119,25,-7.982491,31.36574,201.6348,99.10001,97,29.77431,-145.7682,-149.2911,57.40001,60.7,-242.6216,13.46644,16.25434,-397.8226,64.12688,47.8,60.6,946.2,232.5275,945.4032,222.4115
02.09.2024_13.30.09,0,0,0,-5.866608,31.36574,169.2491,89.6,87.1,15.33203,-94.50955,-106.713,54.4,57,-203.2986,14.16088,16.65654,-364.1854,79.0983,47.8,55,946.2,233.4408,945.4032,236.602
02.09.2024_13.35.09,128,0,0,-12.43851,52.92969,141.9162,84.60001,83.2,42.03197,-115.3646,-122.5261,54.8,55.4,-222.8516,14.03501,16.53067,-382.1614,65.40799,41,55.8,946.2,232.1763,945.4032,237.164
02.09.2024_13.40.09,128,568.0656,0,-11.81279,49.84085,206.0511,104.1,101.1,47.60923,-125.8898,-137.2396,61.5,59.2,-229.7092,14.72367,17.0978,-394.8568,65.40799,43.4,64,946.2,228.734,945.4032,232.5275
02.09.2024_13.45.09,128,1623.484,0,-11.38961,53.63137,337.2649,144.8,138.2,62.33724,-124.3707,-123.8137,68.9,65.60001,-221.8099,14.96673,17.66782,-393.193,65.40003,41.4,70.7,946.2,226.6967,945.4032,217.5642
02.09.2024_13.50.09,32,2662.219,0,-13.82017,92.36473,351.4287,151.1,146.8,76.42144,-117.2526,-121.2818,74.1,70.8,-216.0807,15.47164,18.10475,-392.976,61.38166,40.9,75.6,946.2,223.3247,945.4032,216.7213
02.09.2024_13.55.09,32,3666.476,0,-13.97931,92.36835,419.1045,171.6,167.1,96.44097,-113.1727,-119.3142,80.1,76.9,-213.9757,15.77112,18.44039,-392.976,61.39359,40,82.4,946.2,222.9735,945.4032,222.7628
02.09.2024_14.00.09,32,4669.46,0,-13.53805,92.36835,477.9875,191.3,186.5,77.18461,-129.6875,-120.6163,84.1,83.3,-216.2544,15.67564,18.1901,-390.0463,61.39359,40.2,88.10001,946.2,223.395,945.4032,212.5063
02.09.2024_14.05.09,32,5671.267,0,-13.5055,92.37196,491.9922,187.1,183.4,77.83565,-108.5721,-116.6956,84.3,84.8,-212.0877,15.74942,18.4375,-387.8762,61.38961,41,87.4,946.2,221.3578,945.4032,209.7665
02.09.2024_14.10.09,64,6662.623,0,-12.83999,78.31308,488.6502,178.5,175.1,49.07407,-98.56772,-108.4346,80.9,82.6,-202.0182,15.7147,18.15972,-377.7126,64.71571,40,82.3,946.2,220.5147,945.4032,221.4983
02.09.2024_14.15.09,64,7614.967,0,-11.35706,69.2636,448.745,163.4,159.5,54.89366,-113.9757,-110.7205,76.5,79.10001,-202.7778,15.52662,17.88484,-374.566,64.7197,42,79.4,946.2,220.023,945.4032,217.9155
02.09.2024_14.20.09,16,7675.418,1.4,-12.31554,65.42969,346.2167,133.6,131.9,49.43576,-110.8724,-104.919,70.2,73.7,-202.0182,14.31134,16.91696,-362.9557,69.33485,44.3,70.9,946.2,228.5935,945.4032,221.2172
02.09.2024_14.25.09,16,7675.418,6.4,-12.51808,58.8614,288.6068,121,119.7,61.18344,-119.9002,-111.8345,62.9,67.3,-209.4618,14.81626,17.18316,-373.0469,69.34679,40.2,65.4,946.2,221.428,945.4032,223.395
02.09.2024_14.30.09,16,7675.418,11.4,-12.08044,56.90466,260.2394,116.5,114.8,56.02937,-121.8316,-114.2506,60.8,64.2,-211.7188,14.38223,16.97049,-373.1193,69.33884,40.6,63,946.2,225.643,945.4032,214.5435
02.09.2024_14.35.09,0,7675.418,16.4,-12.10214,56.90466,237.4421,112,110.3,42.66493,-108.2682,-115.191,59.2,61.8,-213.1293,14.46036,16.84606,-374.3851,69.33485,40.2,61,946.2,229.3663,945.4032,214.5435
02.09.2024_14.40.09,0,7675.418,16.4,-6.405525,30.30237,205.2951,101,99.2,19.15871,-98.61111,-102.9659,56.4,59.6,-204.2535,14.64265,17.19763,-369.9363,78.98293,48,58.3,946.2,230.982,945.4032,225.4323
02.09.2024_14.45.09,2,0,0,-8.68779,41.22902,171.0395,89.2,87.3,34.77286,-140.4948,-143.5619,52.8,55.2,-235.0477,16.16753,18.4158,-408.384,59.50376,44.3,54.2,946.2,230.2092,945.4032,231.8953
02.09.2024_14.50.09,128,0,0,-11.4077,59.94285,143.4281,84.1,83.3,46.86053,-115.191,-117.1152,53.9,54.7,-218.0772,13.49826,16.30932,-372.9022,66.11618,39.9,54.7,946.2,227.5397,945.4032,228.453
02.09.2024_14.55.09,128,0,0,-11.72237,48.57132,135.1924,83.6,83,46.57118,-125.5859,-121.6435,55.3,54.4,-226.7578,13.65162,16.26157,-380.4615,66.12413,39.7,55.4,946.2,230.4902,945.4032,225.081
02.09.2024_15.00.09,128,840.0859,0,-12.47468,53.80136,257.8125,120.5,115.5,64.46397,-116.4063,-126.7795,63.5,60.2,-221.3542,14.76273,17.4537,-390.3356,66.12811,41,65,946.2,225.7133,945.4032,218.2668
02.09.2024_15.05.09,128,1842.109,0,-12.14555,55.67491,311.046,139.9,134.5,62.31915,-125.7813,-130.5411,65.7,64,-227.6259,15.39497,17.9022,-399.812,66.12413,40.2,66.6,946.2,233.0895,945.4032,230.2795
02.09.2024_15.10.09,32,2840.01,0,-15.53819,81.11617,397.2222,163,158.4,103.389,-135.7639,-136.5162,73.4,70.8,-236.5451,15.73206,18.42448,-414.2795,60.67347,38.5,77.3,946.2,229.296,945.4032,230.2092
