SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
29.12.2023_05.21.26,128,0,0,-10.87239,67.95428,140.2344,81,82.6,24.2079,-66.97052,-101.7361,47.4,48,-224.8915,14.72222,18.31742,-384.9827,70.65176,32.8,47.9,946.2,238.3582,945.4032,241.8708
29.12.2023_05.26.27,128,64.77623,0,-9.04586,53.15755,146.7448,85.2,84.9,17.76259,-94.40103,-124.0451,49.3,48.1,-247.3307,15.41377,18.82378,-408.9626,65.91724,34.3,49.4,946.2,234.7755,945.4032,233.4408
29.12.2023_05.31.27,128,1013.64,0,-9.168839,46.07928,300.6076,129.9,123.3,58.47439,-96.8316,-127.7054,58,53.8,-244.5096,16.74045,19.81481,-419.9581,65.91724,34,57.3,946.2,233.6515,945.4032,229.2258
29.12.2023_05.36.27,128,1961.622,0,-10.00434,47.12457,359.0929,148.4,141.5,47.48264,-88.21613,-121.0214,59.5,57,-235.6771,17.0544,20.42679,-415.871,65.91327,32.3,59.1,946.2,231.0522,945.4032,231.1225
29.12.2023_05.41.26,32,2915.294,0,-13.72251,66.19647,441.8186,177.3,172,103.3782,-122.9601,-149.0162,71.7,64.8,-261.3064,17.51736,20.78704,-444.3359,54.93236,32.4,70.4,943.3315,229.7175,942.4949,227.5397
29.12.2023_05.46.27,32,3866.469,0,-13.74059,67.71557,488.6068,196.8,193.4,86.07856,-123.8498,-145.3993,75.2,70.4,-256.9011,17.20052,20.64815,-435.8362,54.92839,32.3,74.6,943.3315,229.9283,942.4949,230.0688
29.12.2023_05.51.27,32,4814.294,0,-13.85634,70.7393,509.8741,200.8,198.4,84.69691,-121.0721,-142.7373,75,73.1,-253.9063,17.1629,20.59462,-432.581,54.92839,31.8,76,943.3315,231.3333,942.4949,217.7047
29.12.2023_05.56.27,32,5761.921,0,-13.86719,73.78111,508.4635,201.2,200.8,56.11256,-119.9653,-142.6505,74,75,-251.6493,17.08623,20.59317,-430.4109,54.93236,31.7,77.9,943.3315,217.5642,942.4949,220.5147
29.12.2023_06.01.31,64,6721.845,0,-9.082031,50.59317,497.0052,196.4,193.4,20.24739,-96.13718,-119.0538,66.4,70.2,-228.9063,17.30614,20.63079,-410.1201,65.00217,32.1,67.10001,943.3315,226.2753,942.4949,224.0975
29.12.2023_06.06.27,64,7672.951,0,-10.15263,51.45038,423.0903,171.6,170.2,-1.164641,-92.99045,-120.0087,57.9,63.8,-230.9245,16.4265,19.97106,-402.814,65.00217,32.1,62,943.3315,224.519,942.4949,234.354
29.12.2023_06.11.27,2,7714.556,0,-10.30093,65.14757,304.9913,129.8,132.6,2.473958,-85.78558,-116.0012,50.7,57.1,-232.3785,17.60706,20.86227,-416.3773,63.68526,32.3,54.4,946.2,241.0278,945.4032,230.2092
29.12.2023_06.16.28,0,0,0,-6.629776,44.68678,213.6285,100.2,103.5,-1.161024,-63.84546,-92.05731,48.7,51.6,-213.9106,15.49479,18.65451,-379.2679,79.25347,37,48.9,946.2,234.4945,945.4032,232.2465
29.12.2023_06.21.26,8,0,0,-11.08218,78.89178,160.6554,85.1,87.6,58.14526,-95.18231,-122.2222,46.3,47.3,-242.3611,15.08536,18.29572,-398.112,62.92535,32.7,47.1,944.4072,237.3747,943.6901,235.6185
29.12.2023_06.26.27,128,114.6992,0,-9.939232,49.53342,139.4531,81.9,83,13.66826,-95.70313,-124.6238,46.9,47.2,-247.4392,15.23003,18.5706,-407.7691,64.27409,31.8,47.5,944.4869,237.7962,943.6901,244.3997
29.12.2023_06.31.27,128,1114.279,0,-10.19965,47.6671,258.7457,117.8,114.2,56.48872,-100.6293,-131.8721,55.3,52.2,-250.2821,16.34259,19.87992,-421.6218,64.27409,32.1,55.5,944.4869,233.3705,943.6901,243.9783
29.12.2023_06.36.26,32,2117.693,0,-14.57972,66.60518,305.5772,138.2,134.6,39.94864,-105.5555,-138.0064,59.4,57,-248.329,17.59983,20.95052,-431.9661,55.09549,33,60.7,944.4869,232.5978,943.6901,228.734
29.12.2023_06.41.26,32,3113.815,0,-13.82378,67.26345,350.3255,154.1,151.6,80.46152,-115.625,-142.0139,68.8,64.2,-257.5304,17.04572,20.48466,-436.5234,55.09549,31.8,70,944.4869,225.362,943.6901,225.7835
29.12.2023_06.46.27,32,4059.837,0,-13.45486,70.45718,437.5434,185.1,184,103.3782,-120.8984,-145.081,75.7,72.4,-257.1181,17.7445,21.19502,-441.8765,55.09151,31.3,78.9,944.4869,224.519,943.6901,219.8825
29.12.2023_06.51.26,32,5008.357,0,-13.58868,70.46441,492.0139,200.2,200.1,103.3782,-121.0938,-147.4392,79.10001,77.1,-256.5755,17.35822,20.74942,-438.5128,55.08753,32.8,80.1,944.4869,227.5397,943.6901,217.0022
29.12.2023_06.56.27,64,6008.371,0,-14.43866,72.01244,510.3733,204.2,203.7,88.61762,-119.6615,-144.3287,78.3,77,-255.6424,16.9647,20.6033,-433.8469,55.09151,31.8,78.5,943.451,218.5478,942.3356,207.3078
